,Company,Ticker
223,Consolidated Edison,ED
224,Constellation Brands,STZ
225,Cerner,CERN
226,Copa Holdings,CPA
227,Copart,CPRT
228,Corelogic,CLGX
229,CoreSite,COR
230,Corning Inc.,GLW
231,Corporate Office Properties Trust,OFC
232,CoStar Group,CSGP
233,Costco Wholesale,COST
234,"Coty, Inc.",COTY
235,Crane Co.,CR
236,Credit Acceptance,CACC
237,Crown Castle,CCI
238,Crown Holdings,CCK
239,CSX Corporation,CSX
240,CubeSmart,CUBE
241,Frost Bank,CFR
242,Cummins,CMI
243,Curtiss-Wright,CW
244,CVS Health,CVS
245,Cypress Semiconductor,CY
246,CyrusOne,CONE
247,D. R. Horton,DHI
248,Danaher Corporation,DHR
249,Darden Restaurants,DRI
250,DaVita Inc.,DVA
251,SITE Centers,SITC
252,John Deere,DE
253,Dell Technologies,DELL
254,Delta Air Lines,DAL
255,Dentsply Sirona,XRAY
256,Devon Energy,DVN
257,Dexcom,DXCM
258,Diamondback Energy,FANG
259,Dick's Sporting Goods,DKS
260,Digital Realty Trust,DLR
261,Discover Financial,DFS
262,"Discovery, Inc. (Series A)",DISCA
263,"Discovery, Inc. (Series C)",DISCK
264,Dish Network,DISH
265,The Walt Disney Company,DIS
266,Diversified Healthcare Trust,DHC
267,DocuSign,DOCU
268,Dolby Laboratories,DLB
269,Dollar General,DG
270,Dollar Tree,DLTR
271,Dominion Energy,D
272,Domino's Pizza,DPZ
273,Continental Resources,CLR
274,The Cooper Companies,COO
275,Douglas Emmett,DEI
276,Dover Corporation,DOV
277,DuPont,DD
278,DTE Energy,DTE
279,Duke Energy,DUK
280,Duke Realty,DRE
281,Dun & Bradstreet,DNB
282,DXC Technology,DXC
283,Eagle Materials,EXP
284,East West Bancorp,EWBC
285,Eastman Chemical,EMN
286,Eaton Corporation,ETN
287,Eaton Vance,EV
288,eBay,EBAY
289,EchoStar,SATS
290,Ecolab,ECL
291,Edison International,EIX
292,Edwards Lifesciences,EW
293,Electronic Arts,EA
294,Emerson Electric,EMR
295,Empire State Realty,ESRT
296,Encompass Health,EHC
297,Energen,EGN
298,Energizer Holdings,ENR
299,Entergy,ETR
300,Envision Healthcare,EVHC
301,EOG Resources,EOG
302,EPAM Systems,EPAM
303,EPR Properties,EPR
304,EQT Corporation,EQT
305,Equifax,EFX
306,Equinix,EQIX
307,Equity Commonwealth,EQC
308,Equity Lifestyle Properties,ELS
309,Equity Residential,EQR
310,Erie Indemnity,ERIE
311,Essex Property Trust,ESS
312,Estee Lauder Companies,EL
313,Euronet Worldwide,EEFT
314,Everbridge,EVBG
315,Evercore,EVR
